Job,Rank,Candidate,Similarity Score
job_01,1,candidate_05,0.0522
job_01,2,candidate_03,0.0441
job_01,3,candidate_07,0.0316
job_01,4,candidate_11,0.0274
job_01,5,candidate_01,0.0258
job_01,6,candidate_02,0.0257
job_01,7,candidate_06,0.0247
job_01,8,candidate_12,0.0178
job_01,9,candidate_08,0.0126
job_01,10,candidate_04,0.0121
job_01,11,candidate_09,0.0057
job_01,12,candidate_10,0.0
job_02,1,candidate_08,0.066
job_02,2,candidate_12,0.0487
job_02,3,candidate_07,0.0407
job_02,4,candidate_10,0.0264
job_02,5,candidate_11,0.023
job_02,6,candidate_05,0.0135
job_02,7,candidate_03,0.0123
job_02,8,candidate_04,0.0076
job_02,9,candidate_06,0.0043
job_02,10,candidate_09,0.0
job_02,11,candidate_02,0.0
job_02,12,candidate_01,0.0
job_03,1,candidate_06,0.0543
job_03,2,candidate_07,0.0399
job_03,3,candidate_03,0.0316
job_03,4,candidate_05,0.0243
job_03,5,candidate_02,0.0226
job_03,6,candidate_10,0.0184
job_03,7,candidate_04,0.0163
job_03,8,candidate_11,0.0145
job_03,9,candidate_08,0.007
job_03,10,candidate_09,0.0065
job_03,11,candidate_12,0.0059
job_03,12,candidate_01,0.0
job_04,1,candidate_08,0.0658
job_04,2,candidate_11,0.0246
job_04,3,candidate_10,0.0153
job_04,4,candidate_01,0.0118
job_04,5,candidate_04,0.0094
job_04,6,candidate_05,0.0083
job_04,7,candidate_02,0.0082
job_04,8,candidate_07,0.0059
job_04,9,candidate_06,0.0053
job_04,10,candidate_12,0.0048
job_04,11,candidate_09,0.0
job_04,12,candidate_03,0.0
