job_id,Rank,candidate_id,Similarity Score,job_position_name,matched_score,ground_truth_available,relevant
job_01,1,candidate_05,0.0522,Senior Software Engineer,,0,0
job_01,2,candidate_03,0.0441,Senior Software Engineer,0.8167,1,1
job_01,3,candidate_07,0.0316,Senior Software Engineer,,0,0
job_01,4,candidate_11,0.0274,Senior Software Engineer,,0,0
job_01,5,candidate_01,0.0258,Senior Software Engineer,0.6833,1,1
job_01,6,candidate_02,0.0257,Senior Software Engineer,0.85,1,1
job_01,7,candidate_06,0.0247,Senior Software Engineer,,0,0
job_01,8,candidate_12,0.0178,Senior Software Engineer,,0,0
job_01,9,candidate_08,0.0126,Senior Software Engineer,,0,0
job_01,10,candidate_04,0.0121,Senior Software Engineer,,0,0
job_01,11,candidate_09,0.0057,Senior Software Engineer,,0,0
job_01,12,candidate_10,0.0,Senior Software Engineer,,0,0
job_02,1,candidate_08,0.066,HR Officer,,0,0
job_02,2,candidate_12,0.0487,HR Officer,,0,0
job_02,3,candidate_07,0.0407,HR Officer,,0,0
job_02,4,candidate_10,0.0264,HR Officer,,0,0
job_02,5,candidate_11,0.023,HR Officer,,0,0
job_02,6,candidate_05,0.0135,HR Officer,0.65,1,1
job_02,7,candidate_03,0.0123,HR Officer,,0,0
job_02,8,candidate_04,0.0076,HR Officer,0.6833,1,1
job_02,9,candidate_06,0.0043,HR Officer,0.7167,1,1
job_02,10,candidate_09,0.0,HR Officer,,0,0
job_02,11,candidate_02,0.0,HR Officer,,0,0
job_02,12,candidate_01,0.0,HR Officer,,0,0
job_03,1,candidate_06,0.0543,Civil Engineer,,0,0
job_03,2,candidate_07,0.0399,Civil Engineer,0.54,1,1
job_03,3,candidate_03,0.0316,Civil Engineer,,0,0
job_03,4,candidate_05,0.0243,Civil Engineer,,0,0
job_03,5,candidate_02,0.0226,Civil Engineer,,0,0
job_03,6,candidate_10,0.0184,Civil Engineer,,0,0
job_03,7,candidate_04,0.0163,Civil Engineer,,0,0
job_03,8,candidate_11,0.0145,Civil Engineer,,0,0
job_03,9,candidate_08,0.007,Civil Engineer,0.35,1,0
job_03,10,candidate_09,0.0065,Civil Engineer,0.25,1,0
job_03,11,candidate_12,0.0059,Civil Engineer,,0,0
job_03,12,candidate_01,0.0,Civil Engineer,,0,0
job_04,1,candidate_08,0.0658,Business Development Executive,,0,0
job_04,2,candidate_11,0.0246,Business Development Executive,0.4167,1,0
job_04,3,candidate_10,0.0153,Business Development Executive,0.6833,1,1
job_04,4,candidate_01,0.0118,Business Development Executive,,0,0
job_04,5,candidate_04,0.0094,Business Development Executive,,0,0
job_04,6,candidate_05,0.0083,Business Development Executive,,0,0
job_04,7,candidate_02,0.0082,Business Development Executive,,0,0
job_04,8,candidate_07,0.0059,Business Development Executive,,0,0
job_04,9,candidate_06,0.0053,Business Development Executive,,0,0
job_04,10,candidate_12,0.0048,Business Development Executive,0.5433,1,1
job_04,11,candidate_09,0.0,Business Development Executive,,0,0
job_04,12,candidate_03,0.0,Business Development Executive,,0,0
