Job,Rank,Candidate,Similarity Score
job_01,1,candidate_05,0.0522
job_01,2,candidate_03,0.0441
job_01,3,candidate_07,0.0316
job_01,4,candidate_11,0.0274
job_01,5,candidate_01,0.0258
job_02,1,candidate_08,0.066
job_02,2,candidate_12,0.0487
job_02,3,candidate_07,0.0407
job_02,4,candidate_10,0.0264
job_02,5,candidate_11,0.023
job_03,1,candidate_06,0.0543
job_03,2,candidate_07,0.0399
job_03,3,candidate_03,0.0316
job_03,4,candidate_05,0.0243
job_03,5,candidate_02,0.0226
job_04,1,candidate_08,0.0658
job_04,2,candidate_11,0.0246
job_04,3,candidate_10,0.0153
job_04,4,candidate_01,0.0118
job_04,5,candidate_04,0.0094
